id,name,domain,subdomain,status,scale,keywords,brief_description,canonical_examples
14,Precessione,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
15,Forza centripeta,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
16,Equilibrio statico,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
17,Elasticità di Hooke,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
18,Deformazione plastica,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
19,Idrostatica,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
20,Principio di Archimede,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
21,Tensione superficiale,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
22,Capillarità,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
23,Idrodinamica (equazione di Bernoulli),Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
24,Turbolenza,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
25,Stratificazione fluida,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
26,Onde su corda,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
27,Onde superficiali,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
28,Onde sismiche P e S,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
29,Effetto Doppler acustico,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
30,Diffusione browniana,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
31,Moto browniano,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
32,Gravitazione newtoniana,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
33,Maree,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
34,Orbite kepleriane,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
35,Precessione per perturbazioni,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
36,Conduzione termica,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
37,Convezione naturale,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
38,Convezione forzata,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
39,Irraggiamento termico,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
40,Espansione termica,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
41,Calore specifico,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
42,Capacità termica,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
43,Dilatazione anomala dell'acqua,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
44,Transizioni di fase: fusione,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
45,Transizioni di fase: solidificazione,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
46,Transizioni di fase: evaporazione,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
47,Transizioni di fase: condensazione,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
48,Transizioni di fase: sublimazione,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
49,Punto critico,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
50,Supercriticità dei fluidi,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
51,Equilibrio termodinamico,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
52,Entropia e irreversibilità,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
53,Ciclo di Carnot,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
54,Ciclo Otto,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
55,Ciclo Diesel,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
56,Ciclo Stirling,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
57,Trasferimento di massa per diffusione,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
58,Legge di Fick,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
59,Effetto termoelettrico (Seebeck),Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
60,Effetto Peltier,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
61,Effetto Thomson,Fisica,Termodinamica,Consolidated,Macro,"calore,entropia,energia","Fenomeno di scambio energetico, stato o transizione termica.","Motori termici, frigoriferi, fluidi reali"
62,Carica elettrica,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
63,Campo elettrico,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
64,Potenziale elettrico,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
65,Capacità elettrica,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
66,Corrente elettrica,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
67,Resistenza elettrica,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
68,Legge di Ohm,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
69,Leggi di Kirchhoff,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
70,Induzione elettromagnetica,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
71,Campo magnetico,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
72,Forza di Lorentz,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
73,Autoinduzione,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
74,Mutua induzione,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
75,Onde elettromagnetiche,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
76,Polarizzazione della luce,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
77,Riflessione,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
78,Rifrazione,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
79,Diffrazione,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
80,Interferenza,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
81,Dispersione ottica,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
82,Effetto Doppler elettromagnetico,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
83,Lenti e formazione immagini,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
84,Fibre ottiche,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
85,Effetto fotoelettrico,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
86,Effetto Compton,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
87,Effetto Zeeman,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
88,Effetto Stark,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
89,Effetto Hall,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
90,Effetto Hall quantico,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
91,Superconduttività BCS,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
92,Superfluidità dell'He-4,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
93,Laser (emissione stimolata),Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
94,Risonanza magnetica (NMR/MRI),Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
95,Antenne e radiazione,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
96,Guida d'onda,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
97,Cavità risonanti,Fisica,Elettromagnetismo/Ottica,Consolidated,Macro,"campo,onde,ottica",Fenomeno elettromagnetico/ottico verificato sperimentalmente.,"Misure di laboratorio, elettronica, telecomunicazioni"
98,Dualismo onda-particella,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
99,Principio di indeterminazione di Heisenberg,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
100,Effetto tunnel quantistico,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
101,Quantizzazione dell'energia,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
102,Spettroscopia atomica,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
103,Entanglement bipartito,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
104,Decoerenza,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
105,Statistica di Fermi-Dirac,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
106,Statistica di Bose-Einstein,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
107,Condensato di Bose-Einstein,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
108,Effetto Aharonov–Bohm,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
109,Effetto Casimir,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
110,Spin elettronico,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
111,Momento magnetico anomalo,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
112,Scattering quantistico,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
113,Lamb shift,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
114,Righe spettrali di Rydberg,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
115,Superconduttività ad alta Tc (fenomeno),Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
116,Effetto Josephson DC,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
117,Effetto Josephson AC,Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
118,Interferenza quantistica (SQUID),Fisica,Meccanica quantistica,Consolidated,Quantum,"QM,spettri,entanglement",Fenomeno quantistico osservato o misurato con alta confidenza.,"Esperimenti criogenici, circuiti superconduttivi, fisica atomica"
119,Dilatazione temporale (relatività ristretta),Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
120,Contrazione delle lunghezze,Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
121,Equivalenza massa-energia,Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
122,Curvatura dello spaziotempo,Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
123,Precessione del perielio di Mercurio,Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
124,Deflessione gravitazionale della luce,Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
125,Lente gravitazionale,Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
126,Onde gravitazionali,Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
127,Redshift gravitazionale,Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
128,Espansione cosmologica,Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
129,Radiazione cosmica di fondo,Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
130,Buchi neri astrofisici,Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
131,Orizzonte degli eventi,Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
132,Evaporazione di Hawking (effetto previsto),Fisica,Relatività/Cosmologia,Emerging,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
133,Nucleosintesi primordiale,Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
134,Formazione di strutture cosmiche,Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
135,Materia oscura (evidenze gravitazionali),Fisica,Relatività/Cosmologia,Consolidated,Cosmic,"relatività,GR,cosmologia",Fenomeno relativistico/cosmologico misurato o previsto.,"Osservazioni astrofisiche, interferometri, modelli cosmologici"
136,Ferromagnetismo,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
137,Paramagnetismo,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
138,Diamagnetismo,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
